School Attendance after Grade 3 (6 - 24 yo),Number of Health Facility,Occurence of Armed Conflict,Household with Concrete Walls Proportion,Access to Electricity Proportion,Access to Treated Water Proportion,Owned House and Lot Proportion,Has Copy Birth Certificate Proportion 6 - 24 yo,Married Proportion 6 - 24 yo,Overseas Worker in Family Proportion
3,1,1,0.2941834451901566,0.5273132664437012,0.20512820512820512,0.8494983277591973,0.7446808510638298,0.24503311258278146,0.09253065774804907
3,0,1,0.0432043204320432,0.27182718271827183,0.0018001800180018,0.4887488748874888,0.30834512022630833,0.1930155733836716,0.19711971197119715
2,0,1,0.011447811447811448,0.15488215488215487,0.0,0.8141414141414142,0.5070093457943925,0.22282820412933385,0.06868686868686869
3,0,1,0.4541387024608501,0.3348519362186788,0.16400911161731208,0.7277904328018223,0.7678207739307535,0.1447811447811448,0.15548098434004473
3,0,1,0.08620689655172414,0.07974137931034482,0.004310344827586207,0.9903017241379308,0.5692987299834346,0.19678492239467849,0.1713362068965517
3,1,1,0.04739336492890995,0.44405182567726736,0.004711425206124852,0.36866902237926974,0.4256578947368421,0.17817225509533202,0.13427561837455831
3,1,1,0.17992874109263654,0.3173475429248076,0.1906453522794553,0.4126702190645352,0.6286173633440515,0.1444550974752317,0.11663706335109532
3,1,1,0.05459770114942529,0.25287356321839083,0.005747126436781609,0.9454022988505748,0.8482490272373541,0.18207126948775051,0.10632183908045977
3,0,1,0.2505091649694501,0.5409836065573771,0.004098360655737704,0.4877049180327869,0.9121114683815648,0.14866310160427804,0.07128309572301425
3,1,1,0.2427616926503341,0.31737193763919824,0.0,0.9799554565701559,0.9384615384615383,0.13432835820895522,0.14587973273942093
3,1,1,0.2163636363636364,0.5992141453831041,0.5186640471512771,0.5599214145383105,0.6272321428571429,0.15590200445434302,0.12
3,1,1,0.07865168539325842,0.031172069825436414,0.02119700748129676,0.3179551122194514,0.7150466045272971,0.16611074049366245,0.12079701120797012
3,0,1,0.08695652173913042,0.27931488801054016,0.010540184453227932,0.8814229249011858,0.6419437340153452,0.19639794168096056,0.13965744400527008
3,1,1,0.16151202749140894,0.11884550084889645,0.003395585738539898,0.3684210526315789,0.8694968553459119,0.14901960784313725,0.0831918505942275
3,1,1,0.1619718309859155,0.3485915492957746,0.02112676056338028,1.0,0.9133089133089132,0.17253948967193194,0.13732394366197184
3,1,1,0.5720268006700168,0.9724003345413996,0.9632004460551992,0.2578756621131865,0.9677570093457945,0.06334002780781707,0.05263157894736842
3,1,1,0.4215283483976993,0.8766447368421053,0.549890350877193,0.36211622807017546,0.6262752446387675,0.1213552361396304,0.07744937055281882
3,2,1,0.3844861383366004,0.9572506286672254,0.9891031014249788,0.4082145850796312,0.6841769459804339,0.08041958041958043,0.11840268081541468
3,4,1,0.49813355454168395,0.9946080464537536,0.9091663210286188,0.535462463708005,0.6547798426251465,0.04672057502246182,0.03318125259228536
3,2,1,0.4430327868852459,0.8737541528239202,0.9277408637873754,0.4049003322259136,0.8896473265073948,0.08063600227143668,0.05118755118755119
3,1,1,0.34428024083196496,0.9654983570646222,0.7820372398685652,0.4403066812705367,0.7980140469847421,0.07642393655371305,0.1499726327312534
