Bgy_Code,Number of Health Facility,Occurence of Armed Conflict,Household with Concrete Walls Proportion,Access to Electricity Proportion,Access to Treated Water Proportion,Owned House and Lot Proportion,Has Copy Birth Certificate Proportion 6 - 24 yo,Married Proportion 6 - 24 yo,School Attendance after Grade 3 (6 - 24 yo),Overseas Worker in Family Proportion,Distance to nearest health facility,Percentage of working 15 - 19 yo,Number of High Schools,Number of Elementary Schools and Below
156609032,0,1,0.04580152671755725,0.022900763358778626,0.04580152671755725,1.0,1.0,0.0036101083032490976,0.6209386281588448,0.05343511450381679,0.6343339643109378,0.01,0.0,1.0
156609033,0,1,0.1556420233463035,0.09056603773584904,0.09056603773584904,0.958490566037736,0.9988610478359908,0.026166097838452786,0.7590497737556561,0.018867924528301886,0.6347740167397138,0.09,0.0,1.0
156609034,0,1,0.02092050209205021,0.012552301255230124,0.1506276150627615,0.9665271966527196,0.5704697986577181,0.0374331550802139,0.4920424403183024,0.016736401673640166,0.6365255925901762,0.07,0.0,0.0
156609035,1,1,0.06845238095238096,0.017441860465116282,0.05232558139534884,0.997093023255814,0.998109640831758,0.04627006610009443,0.7292452830188679,0.1947674418604652,0.6329030325343052,0.05,0.0,0.0
156609036,1,1,0.05076142131979696,0.015463917525773196,0.0,0.9845360824742267,0.8323586744639376,0.062378167641325526,0.6692160611854685,0.1218274111675127,0.6345189192420113,0.18,0.0,1.0
156609037,0,1,0.0049504950495049506,0.0,0.0,0.9951690821256038,0.7174392935982341,0.03289473684210526,0.5714285714285714,0.019230769230769232,0.6363455812794502,0.3,0.0,1.0
156609038,1,1,0.0959752321981424,0.05705705705705705,0.01801801801801801,0.9669669669669668,0.9887955182072832,0.10195530726256984,0.7531206657420251,0.015015015015015015,0.6373667982282001,0.07,1.0,1.0
156609039,0,1,0.05970149253731344,0.01990049751243781,0.0,0.9253731343283582,0.8687615526802218,0.03136531365313653,0.5808823529411765,0.1044776119402985,0.6337323859151464,0.04,0.0,1.0
156609040,0,1,0.038461538461538464,0.05882352941176471,0.0,0.8921568627450981,0.9416195856873822,0.02819548872180452,0.6598890942698706,0.04265402843601896,0.6342788650082075,0.05,0.0,0.0
156609041,0,1,0.0825242718446602,0.03883495145631068,0.10679611650485436,0.9902912621359224,0.8456260720411664,0.03620689655172414,0.5572649572649573,0.0825242718446602,0.6352485827177264,0.42,0.0,1.0
156609042,1,1,0.1652542372881356,0.029661016949152543,0.00847457627118644,1.0,0.8761467889908257,0.018292682926829267,0.5978755690440061,0.025423728813559324,0.6330190846391476,0.14,0.0,2.0
156609043,0,1,0.8877551020408163,0.03571428571428571,0.9948979591836736,0.9948979591836736,1.0,0.0016260162601626016,0.525974025974026,0.0,0.6353882019817156,0.23,0.0,0.0
156609044,0,1,0.2326732673267327,0.6878048780487804,0.3024390243902439,1.0,0.9889624724061812,0.07456140350877193,0.7402597402597403,0.3398058252427185,0.6376927954724559,0.17,0.0,0.0
156609045,0,1,0.055276381909547735,0.02010050251256281,0.035175879396984924,1.0,0.926873857404022,0.09706959706959707,0.6046931407942239,0.06030150753768844,0.6358403679425142,0.15,0.0,1.0
156610001,0,1,0.0,0.05263157894736842,0.010526315789473684,0.9894736842105264,0.11838790931989925,0.034739454094292806,0.4267990074441687,0.0,0.634433237752687,0.2,0.0,0.0
156610003,0,1,0.01140684410646388,0.03802281368821293,0.0,0.11787072243346007,0.2734375,0.057810578105781066,0.38995215311004783,0.0,0.639231289178918,0.05,0.0,1.0
156610004,1,1,0.0,0.006329113924050633,0.05063291139240506,0.9936708860759492,0.3384279475982533,0.06962025316455696,0.4947589098532495,0.0,0.6357404825840672,0.21,0.0,2.0
156610005,0,1,0.03759398496240601,0.0,0.014760147601476013,0.1033210332103321,0.996661101836394,0.021702838063439058,0.6307947019867549,0.003690036900369004,0.6316877095603902,0.12,0.0,1.0
156610006,0,1,0.0,0.008968609865470852,0.0,0.6457399103139013,0.8718626155878467,0.027027027027027032,0.5933075933075933,0.01345291479820628,0.6359672530491958,0.25,0.0,1.0
156610007,0,1,0.0,0.01937984496124031,0.2596899224806202,1.0,0.989492119089317,0.02961672473867596,0.7586805555555556,0.007751937984496123,0.6318236979018568,0.13,1.0,1.0
156610008,0,1,0.02994011976047904,0.0059880239520958105,0.7245508982035929,0.9820359281437124,0.9591836734693876,0.0220125786163522,0.6389324960753532,0.011976047904191616,0.6323110204807828,0.01,0.0,1.0
156610009,0,1,0.004878048780487805,0.0,0.0,1.0,0.6868537666174298,0.034188034188034185,0.6788732394366197,0.00975609756097561,0.6307934219935796,0.18,0.0,1.0
156610010,0,1,0.0053475935828877,0.0,0.0,0.9465240641711228,0.7704590818363274,0.16898608349900596,0.4834307992202729,0.0053475935828877,0.6350219707008228,0.15,0.0,0.0
156610011,0,1,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.5655430711610487,0.06227106227106227,0.5291970802919708,0.032520325203252036,0.6327558726445265,0.32,0.0,1.0
156610012,0,1,0.015873015873015872,0.01058201058201058,0.0,0.9735449735449736,0.99672131147541,0.00546448087431694,0.593681917211329,0.007936507936507936,0.6351937492952959,0.11,0.0,1.0
156610013,2,1,0.31521739130434784,0.007751937984496123,0.012403100775193798,1.0,0.9323399113975028,0.016901408450704224,0.6003197442046363,0.009302325581395349,0.6331931657618093,0.22,0.0,0.0
156610014,1,1,0.003472222222222222,0.003472222222222222,0.1076388888888889,0.9548611111111112,0.932475884244373,0.009503695881731784,0.5955649419218585,0.04861111111111111,0.6333301508429365,0.21,0.0,1.0
156610015,0,1,0.006191950464396285,0.021739130434782608,0.003105590062111801,0.3819875776397516,0.4919053549190536,0.11835748792270533,0.5467625899280576,0.015479876160990712,0.6341288988297915,0.12,0.0,2.0
156611001,1,1,0.3701447067783701,0.9345509893455098,0.9372146118721462,0.9337899543378996,0.9528077141236528,0.033635334088335224,0.720170613985857,0.0806697108066971,0.646505041417317,0.05,0.0,1.0
156611002,0,1,0.01492537313432836,1.0,0.8656716417910447,0.9925373134328358,0.9934640522875816,0.02280130293159609,0.6938110749185668,0.02985074626865672,0.6532868893549342,0.06,0.0,0.0
156611003,0,1,0.208029197080292,0.9272388059701492,0.4216417910447761,0.4141791044776119,0.990916597853014,0.055008210180623976,0.7822185970636215,0.11131386861313868,0.6502018789442643,0.04,1.0,2.0
156611004,1,1,0.07200000000000001,0.044,0.888,0.988,0.7227722772277227,0.19506172839506167,0.6487804878048781,0.07200000000000001,0.6564553348588417,0.17,0.0,1.0
