Pro_Name,Pro_Code,Bgy_Name,Bgy_Code
Basilan,PH150700000,Pisak-pisak,PH150713007
Basilan,PH150700000,Saluping,PH150713008
Basilan,PH150700000,Suligan (Babuan Island),PH150713009
Basilan,PH150700000,Sulloh (Tapiantana),PH150713010
Basilan,PH150700000,Tambulig Buton,PH150713011
Basilan,PH150700000,Tong-Umus,PH150713012
Lanao Del Sur,PH153600000,Ampao,PH153601001
Lanao Del Sur,PH153600000,Bagoaingud,PH153601002
Lanao Del Sur,PH153600000,Balut,PH153601004
Lanao Del Sur,PH153600000,Barua,PH153601005
Lanao Del Sur,PH153600000,Buadiawani,PH153601006
Lanao Del Sur,PH153600000,Bubong,PH153601007
Lanao Del Sur,PH153600000,Dilabayan,PH153601008
Lanao Del Sur,PH153600000,Dipatuan,PH153601009
Lanao Del Sur,PH153600000,Daramoyod,PH153601010
Lanao Del Sur,PH153600000,Gandamato,PH153601011
Lanao Del Sur,PH153600000,Gurain,PH153601012
Lanao Del Sur,PH153600000,Ilian,PH153601013
Lanao Del Sur,PH153600000,Lama,PH153601014
Lanao Del Sur,PH153600000,Liawao,PH153601015
Lanao Del Sur,PH153600000,Lumbaca-Ingud,PH153601016
Lanao Del Sur,PH153600000,Madanding,PH153601018
Lanao Del Sur,PH153600000,Orong,PH153601019
Lanao Del Sur,PH153600000,Pindolonan,PH153601020
Lanao Del Sur,PH153600000,Poblacion I,PH153601021
Lanao Del Sur,PH153600000,Poblacion II,PH153601022
Lanao Del Sur,PH153600000,Raya,PH153601023
Lanao Del Sur,PH153600000,Rorowan,PH153601024
Lanao Del Sur,PH153600000,Sugod,PH153601025
Lanao Del Sur,PH153600000,Tambo,PH153601026
Lanao Del Sur,PH153600000,Tuka I,PH153601027
Lanao Del Sur,PH153600000,Tuka II,PH153601028
Lanao Del Sur,PH153600000,Banago,PH153602002
Lanao Del Sur,PH153600000,Barorao,PH153602003
Lanao Del Sur,PH153600000,Batuan,PH153602004
Lanao Del Sur,PH153600000,Budas,PH153602006
Lanao Del Sur,PH153600000,Calilangan,PH153602007
Lanao Del Sur,PH153600000,Igabay,PH153602008
Lanao Del Sur,PH153600000,Lalabuan,PH153602010
Lanao Del Sur,PH153600000,Magulalung Occidental,PH153602011
Lanao Del Sur,PH153600000,Magulalung Oriental,PH153602012
Lanao Del Sur,PH153600000,Molimoc,PH153602013
Lanao Del Sur,PH153600000,Narra,PH153602014
Lanao Del Sur,PH153600000,Plasan,PH153602015
Lanao Del Sur,PH153600000,Purakan,PH153602016
Lanao Del Sur,PH153600000,Buisan (Bengabeng),PH153602019
Lanao Del Sur,PH153600000,Buenavista,PH153602022
Lanao Del Sur,PH153600000,Lorenzo,PH153602027
Lanao Del Sur,PH153600000,Lower Itil,PH153602029
Lanao Del Sur,PH153600000,Macao,PH153602032
Lanao Del Sur,PH153600000,Poblacion (Balabagan),PH153602039
Lanao Del Sur,PH153600000,Upper Itil,PH153602043
Lanao Del Sur,PH153600000,Bagoaingud,PH153602050
Lanao Del Sur,PH153600000,Ilian,PH153602051
Lanao Del Sur,PH153600000,Lumbac,PH153602052
Lanao Del Sur,PH153600000,Matampay,PH153602053
Lanao Del Sur,PH153600000,Matanog,PH153602054
Lanao Del Sur,PH153600000,Pindolonan,PH153602055
