Pro_Name,Pro_Code,Bgy_Name,Bgy_Code,labels
Lanao Del Sur,PH153600000,Alog,PH153612001,0 ns
Lanao Del Sur,PH153600000,Alog,PH153628001,0 ns
Lanao Del Sur,PH153600000,Alumpang Paino Mimbalay,PH153618004,0 ns
Lanao Del Sur,PH153600000,Ambolong,PH153617001,0 ns
Lanao Del Sur,PH153600000,Amito Marantao,PH153617069,0 ns
Lanao Del Sur,PH153600000,Amoyong,PH153630001,1 hot spot
Lanao Del Sur,PH153600000,Ampao,PH153601001,0 ns
Lanao Del Sur,PH153600000,Anas,PH153635054,0 ns
Lanao Del Sur,PH153600000,Aposong,PH153621001,3 cold spot
Lanao Del Sur,PH153600000,Ataragadong,PH153622001,0 ns
Lanao Del Sur,PH153600000,Ayong,PH153620001,0 ns
Lanao Del Sur,PH153600000,BPS Village,PH153615018,1 hot spot
Lanao Del Sur,PH153600000,Babayog,PH153610034,0 ns
Lanao Del Sur,PH153600000,Bacayawan,PH153616001,0 ns
Lanao Del Sur,PH153600000,Bacayawan,PH153613049,0 ns
Lanao Del Sur,PH153600000,Bacayawan,PH153615003,1 hot spot
Lanao Del Sur,PH153600000,Bacayawan,PH153640001,0 ns
Lanao Del Sur,PH153600000,Baclayan Lilod,PH153624042,0 ns
Lanao Del Sur,PH153600000,Baclayan Raya,PH153624079,0 ns
Lanao Del Sur,PH153600000,Bacolod,PH153606012,3 cold spot
Lanao Del Sur,PH153600000,Bacolod,PH153633001,3 cold spot
Lanao Del Sur,PH153600000,Bacolod Chico Proper,PH153617003,1 hot spot
Lanao Del Sur,PH153600000,Bacolod I,PH153611003,0 ns
Lanao Del Sur,PH153600000,Bacolod II,PH153611004,0 ns
Lanao Del Sur,PH153600000,Bacong,PH153616006,0 ns
Lanao Del Sur,PH153600000,Badak,PH153605001,0 ns
Lanao Del Sur,PH153600000,Badak,PH153623001,0 ns
Lanao Del Sur,PH153600000,Badak Lumao,PH153615004,0 ns
Lanao Del Sur,PH153600000,Bagiangun,PH153628039,0 ns
Lanao Del Sur,PH153600000,Bagoaingud,PH153602050,0 ns
Lanao Del Sur,PH153600000,Bagoaingud,PH153601002,0 ns
Lanao Del Sur,PH153600000,Bagoaingud,PH153606002,0 ns
Lanao Del Sur,PH153600000,Bagoaingud,PH153609001,3 cold spot
Lanao Del Sur,PH153600000,Bagoaingud,PH153604003,3 cold spot
Lanao Del Sur,PH153600000,Bagoaingud,PH153613003,3 cold spot
Lanao Del Sur,PH153600000,Bagoaingud,PH153615006,0 ns
Lanao Del Sur,PH153600000,Bagoaingud,PH153624001,0 ns
Lanao Del Sur,PH153600000,Bagoaingud,PH153619043,0 ns
Lanao Del Sur,PH153600000,Bagoaingud,PH153621002,0 ns
Lanao Del Sur,PH153600000,Bagoaingud,PH153625002,0 ns
Lanao Del Sur,PH153600000,Bagoaingud,PH153629001,0 ns
Lanao Del Sur,PH153600000,Bagoaingud,PH153636004,0 ns
Lanao Del Sur,PH153600000,Bagoaingud,PH153638024,0 ns
Lanao Del Sur,PH153600000,Baguiangun,PH153605002,0 ns
Lanao Del Sur,PH153600000,Bagumbayan,PH153631002,0 ns
Lanao Del Sur,PH153600000,Bagumbayan,PH153637002,0 ns
Lanao Del Sur,PH153600000,Bairan (Pob.),PH153604004,0 ns
Lanao Del Sur,PH153600000,Bakikis,PH153639001,0 ns
Lanao Del Sur,PH153600000,Balagunun,PH153614004,0 ns
Lanao Del Sur,PH153600000,Balagunun,PH153634003,0 ns
Lanao Del Sur,PH153600000,Balaigay,PH153636005,0 ns
Lanao Del Sur,PH153600000,Balatin,PH153630002,2 low outlier
Lanao Del Sur,PH153600000,Balawag,PH153634005,0 ns
Lanao Del Sur,PH153600000,Balintad,PH153609002,3 cold spot
Lanao Del Sur,PH153600000,Balintad,PH153614003,0 ns
Lanao Del Sur,PH153600000,Balintad A,PH153609032,0 ns
Lanao Del Sur,PH153600000,Balintao,PH153634006,0 ns
Lanao Del Sur,PH153600000,Balut,PH153601004,0 ns
Lanao Del Sur,PH153600000,Balut,PH153631001,0 ns
Lanao Del Sur,PH153600000,Balut Maito,PH153605003,0 ns
Lanao Del Sur,PH153600000,Balutmadiar,PH153626019,0 ns
Lanao Del Sur,PH153600000,Banago,PH153602002,0 ns
Lanao Del Sur,PH153600000,Bandara Ingud,PH153620005,0 ns
Lanao Del Sur,PH153600000,Bandara-Ingud,PH153637003,3 cold spot
Lanao Del Sur,PH153600000,Banday,PH153615080,1 hot spot
Lanao Del Sur,PH153600000,Bandera Buisan,PH153627003,3 cold spot
Lanao Del Sur,PH153600000,Bandingun,PH153604005,3 cold spot
Lanao Del Sur,PH153600000,Banga,PH153617006,1 hot spot
Lanao Del Sur,PH153600000,Banga,PH153630003,1 hot spot
Lanao Del Sur,PH153600000,Banga-Pantar,PH153616105,0 ns
Lanao Del Sur,PH153600000,Bangco,PH153617007,0 ns
Lanao Del Sur,PH153600000,Bangco (Pob.),PH153621003,0 ns
Lanao Del Sur,PH153600000,Banggolo Poblacion,PH153617008,1 hot spot
Lanao Del Sur,PH153600000,Bangon,PH153617009,1 hot spot
Lanao Del Sur,PH153600000,Bangon,PH153619002,0 ns
Lanao Del Sur,PH153600000,Bangon,PH153622002,0 ns
Lanao Del Sur,PH153600000,Bangon,PH153626002,3 cold spot
Lanao Del Sur,PH153600000,Bangon,PH153633003,3 cold spot
Lanao Del Sur,PH153600000,Bangon (Dilausan),PH153641001,0 ns
Lanao Del Sur,PH153600000,Bangon (Pob.),PH153620006,0 ns
Lanao Del Sur,PH153600000,Bangon Proper,PH153633033,3 cold spot
Lanao Del Sur,PH153600000,Bansayan,PH153606003,3 cold spot
Lanao Del Sur,PH153600000,Bansayan,PH153621004,0 ns
Lanao Del Sur,PH153600000,Bansayan,PH153622004,0 ns
Lanao Del Sur,PH153600000,Bantalan,PH153638002,3 cold spot
Lanao Del Sur,PH153600000,Bantayan,PH153623002,3 cold spot
Lanao Del Sur,PH153600000,Bantayao,PH153611008,0 ns
Lanao Del Sur,PH153600000,Bantoga Wato,PH153603007,0 ns
Lanao Del Sur,PH153600000,Bara-as,PH153635004,0 ns
Lanao Del Sur,PH153600000,Barao,PH153639002,0 ns
Lanao Del Sur,PH153600000,Barimbingan,PH153624006,0 ns
Lanao Del Sur,PH153600000,Barit,PH153603008,0 ns
Lanao Del Sur,PH153600000,Barit,PH153609003,0 ns
Lanao Del Sur,PH153600000,Barit,PH153611009,0 ns
Lanao Del Sur,PH153600000,Barorao,PH153602003,0 ns
