Pro_Name,Pro_Code,Bgy_Name,Bgy_Code,Number Of Households,Light Source,Value
Lanao Del Sur,PH153600000,Orong,PH153601019,110,Electricity,110
Lanao Del Sur,PH153600000,Pindolonan,PH153601020,70,Electricity,70
Lanao Del Sur,PH153600000,Poblacion I,PH153601021,127,Electricity,127
Lanao Del Sur,PH153600000,Poblacion II,PH153601022,219,Electricity,195
Lanao Del Sur,PH153600000,Raya,PH153601023,96,Electricity,96
Lanao Del Sur,PH153600000,Rorowan,PH153601024,65,Electricity,60
Lanao Del Sur,PH153600000,Sugod,PH153601025,182,Electricity,169
Lanao Del Sur,PH153600000,Tambo,PH153601026,92,Electricity,0
Lanao Del Sur,PH153600000,Tuka I,PH153601027,116,Electricity,111
Lanao Del Sur,PH153600000,Tuka II,PH153601028,111,Electricity,111
Lanao Del Sur,PH153600000,Banago,PH153602002,487,Electricity,4
Lanao Del Sur,PH153600000,Barorao,PH153602003,338,Electricity,2
Lanao Del Sur,PH153600000,Batuan,PH153602004,208,Electricity,1
Lanao Del Sur,PH153600000,Budas,PH153602006,144,Electricity,3
Lanao Del Sur,PH153600000,Calilangan,PH153602007,163,Electricity,1
Lanao Del Sur,PH153600000,Igabay,PH153602008,194,Electricity,1
Lanao Del Sur,PH153600000,Lalabuan,PH153602010,183,Electricity,4
Lanao Del Sur,PH153600000,Magulalung Occidental,PH153602011,174,Electricity,0
Lanao Del Sur,PH153600000,Magulalung Oriental,PH153602012,126,Electricity,4
Lanao Del Sur,PH153600000,Molimoc,PH153602013,138,Electricity,3
Lanao Del Sur,PH153600000,Narra,PH153602014,123,Electricity,0
Lanao Del Sur,PH153600000,Plasan,PH153602015,130,Electricity,1
Lanao Del Sur,PH153600000,Purakan,PH153602016,219,Electricity,3
Lanao Del Sur,PH153600000,Buisan (Bengabeng),PH153602019,59,Electricity,2
Lanao Del Sur,PH153600000,Buenavista,PH153602022,96,Electricity,1
Lanao Del Sur,PH153600000,Lorenzo,PH153602027,270,Electricity,2
Lanao Del Sur,PH153600000,Lower Itil,PH153602029,146,Electricity,0
Lanao Del Sur,PH153600000,Macao,PH153602032,111,Electricity,0
Lanao Del Sur,PH153600000,Poblacion (Balabagan),PH153602039,287,Electricity,1
Lanao Del Sur,PH153600000,Upper Itil,PH153602043,183,Electricity,0
Lanao Del Sur,PH153600000,Bagoaingud,PH153602050,189,Electricity,3
Lanao Del Sur,PH153600000,Ilian,PH153602051,108,Electricity,2
Lanao Del Sur,PH153600000,Lumbac,PH153602052,155,Electricity,3
Lanao Del Sur,PH153600000,Matampay,PH153602053,129,Electricity,0
Lanao Del Sur,PH153600000,Matanog,PH153602054,132,Electricity,1
Lanao Del Sur,PH153600000,Pindolonan,PH153602055,183,Electricity,0
Lanao Del Sur,PH153600000,Tataya,PH153602056,94,Electricity,0
Lanao Del Sur,PH153600000,Abaga,PH153603001,103,Electricity,103
Lanao Del Sur,PH153600000,Poblacion (Balindong),PH153603005,177,Electricity,177
Lanao Del Sur,PH153600000,Pantaragoo,PH153603006,95,Electricity,95
Lanao Del Sur,PH153600000,Bantoga Wato,PH153603007,106,Electricity,106
Lanao Del Sur,PH153600000,Barit,PH153603008,115,Electricity,115
Lanao Del Sur,PH153600000,Bubong,PH153603009,124,Electricity,124
Lanao Del Sur,PH153600000,Bubong Cadapaan,PH153603011,121,Electricity,121
Lanao Del Sur,PH153600000,Borakis,PH153603013,69,Electricity,69
Lanao Del Sur,PH153600000,Bualan,PH153603014,219,Electricity,218
Lanao Del Sur,PH153600000,Cadapaan,PH153603015,98,Electricity,98
Lanao Del Sur,PH153600000,Cadayonan,PH153603016,136,Electricity,136
Lanao Del Sur,PH153600000,Kaluntay,PH153603018,31,Electricity,30
Lanao Del Sur,PH153600000,Dadayag,PH153603021,96,Electricity,96
Lanao Del Sur,PH153600000,Dado,PH153603022,91,Electricity,91
Lanao Del Sur,PH153600000,Dibarusan,PH153603024,100,Electricity,100
Lanao Del Sur,PH153600000,Dilausan,PH153603025,175,Electricity,175
Lanao Del Sur,PH153600000,Dimarao,PH153603026,37,Electricity,37
Lanao Del Sur,PH153600000,Ingud,PH153603027,103,Electricity,103
Lanao Del Sur,PH153600000,Lalabuan,PH153603029,142,Electricity,142
Lanao Del Sur,PH153600000,Lilod,PH153603031,237,Electricity,237
Lanao Del Sur,PH153600000,Lumbayao,PH153603032,170,Electricity,170
Lanao Del Sur,PH153600000,Limbo,PH153603033,80,Electricity,80
Lanao Del Sur,PH153600000,Lumbac Lalan,PH153603035,90,Electricity,90
Lanao Del Sur,PH153600000,Lumbac Wato,PH153603036,106,Electricity,105
Lanao Del Sur,PH153600000,Magarang,PH153603037,58,Electricity,58
Lanao Del Sur,PH153600000,Nusa Lumba Ranao,PH153603041,107,Electricity,107
Lanao Del Sur,PH153600000,Padila,PH153603042,72,Electricity,72
Lanao Del Sur,PH153600000,Pagayawan,PH153603043,84,Electricity,84
Lanao Del Sur,PH153600000,Paigoay,PH153603044,94,Electricity,92
Lanao Del Sur,PH153600000,Raya,PH153603046,129,Electricity,129
Lanao Del Sur,PH153600000,Salipongan,PH153603047,141,Electricity,141
Lanao Del Sur,PH153600000,Talub,PH153603050,52,Electricity,52
Lanao Del Sur,PH153600000,Tomarompong,PH153603051,49,Electricity,49
Lanao Del Sur,PH153600000,Tantua Raya,PH153603052,149,Electricity,147
Lanao Del Sur,PH153600000,Tuka Bubong,PH153603053,87,Electricity,87
Lanao Del Sur,PH153600000,Bolinsong,PH153603054,53,Electricity,53
Lanao Del Sur,PH153600000,Lati,PH153603055,158,Electricity,158
Lanao Del Sur,PH153600000,Malaig,PH153603056,129,Electricity,129
Lanao Del Sur,PH153600000,Bagoaingud,PH153604003,55,Electricity,0
Lanao Del Sur,PH153600000,Bairan (Pob.),PH153604004,133,Electricity,1
Lanao Del Sur,PH153600000,Bandingun,PH153604005,64,Electricity,2
Lanao Del Sur,PH153600000,Biabi,PH153604006,48,Electricity,0
Lanao Del Sur,PH153600000,Bialaan,PH153604007,69,Electricity,0
Lanao Del Sur,PH153600000,Cadayonan,PH153604009,46,Electricity,0
Lanao Del Sur,PH153600000,Lumbac Cadayonan,PH153604010,107,Electricity,0
Lanao Del Sur,PH153600000,Lalapung Central,PH153604011,65,Electricity,0
Lanao Del Sur,PH153600000,Condaraan Pob. (Condaraan Dimadap),PH153604012,124,Electricity,0
Lanao Del Sur,PH153600000,Cormatan,PH153604013,51,Electricity,0
Lanao Del Sur,PH153600000,Ilian,PH153604014,49,Electricity,0
