Pro_Name,Pro_Code,Bgy_Name,Bgy_Code,Category,Total Occupied Housing Units,Material,Value
Basilan,PH150700000,Sungkayut,PH150711010,Wall,164,Concrete/brick/stone,2
Basilan,PH150700000,Tongbato,PH150711011,Wall,218,Concrete/brick/stone,14
Basilan,PH150700000,Ulitan,PH150711012,Wall,327,Concrete/brick/stone,46
Basilan,PH150700000,Baluk-baluk,PH150712001,Wall,217,Concrete/brick/stone,0
Basilan,PH150700000,Dasalan,PH150712002,Wall,473,Concrete/brick/stone,7
Basilan,PH150700000,Lubukan,PH150712003,Wall,496,Concrete/brick/stone,103
Basilan,PH150700000,Luukbongsod,PH150712004,Wall,336,Concrete/brick/stone,8
Basilan,PH150700000,Mananggal,PH150712005,Wall,128,Concrete/brick/stone,0
Basilan,PH150700000,Palahangan,PH150712006,Wall,316,Concrete/brick/stone,2
Basilan,PH150700000,Panducan,PH150712007,Wall,250,Concrete/brick/stone,6
Basilan,PH150700000,Sangbay Big,PH150712008,Wall,535,Concrete/brick/stone,33
Basilan,PH150700000,Sangbay Small,PH150712009,Wall,448,Concrete/brick/stone,6
Basilan,PH150700000,Tausan,PH150712010,Wall,722,Concrete/brick/stone,11
Basilan,PH150700000,Babag (Babuan Island),PH150713001,Wall,241,Concrete/brick/stone,1
Basilan,PH150700000,Balanting,PH150713002,Wall,201,Concrete/brick/stone,0
Basilan,PH150700000,Boloh-boloh,PH150713003,Wall,100,Concrete/brick/stone,7
Basilan,PH150700000,Bukut-Umus,PH150713004,Wall,408,Concrete/brick/stone,3
Basilan,PH150700000,Kaumpurnah,PH150713005,Wall,192,Concrete/brick/stone,1
Basilan,PH150700000,Lanawan,PH150713006,Wall,376,Concrete/brick/stone,12
Basilan,PH150700000,Pisak-pisak,PH150713007,Wall,164,Concrete/brick/stone,9
Basilan,PH150700000,Saluping,PH150713008,Wall,305,Concrete/brick/stone,0
Basilan,PH150700000,Suligan (Babuan Island),PH150713009,Wall,113,Concrete/brick/stone,0
Basilan,PH150700000,Sulloh (Tapiantana),PH150713010,Wall,294,Concrete/brick/stone,1
Basilan,PH150700000,Tambulig Buton,PH150713011,Wall,231,Concrete/brick/stone,19
Basilan,PH150700000,Tong-Umus,PH150713012,Wall,444,Concrete/brick/stone,7
