Bgy_Code,labels
PH157006023,0 ns
PH157002021,0 ns
PH157002047,1 hot spot
PH157002022,0 ns
PH157004011,0 ns
PH157002046,0 ns
PH157002023,1 hot spot
PH157002024,0 ns
PH157010006,0 ns
PH157010019,0 ns
PH157006025,0 ns
PH157005023,0 ns
PH157004012,0 ns
PH157002025,0 ns
PH157009013,0 ns
PH157001007,1 hot spot
PH157002026,1 hot spot
PH157003007,0 ns
PH157006026,0 ns
PH157007048,0 ns
PH157007030,0 ns
PH157002030,0 ns
PH157007031,0 ns
PH157003016,0 ns
PH157010014,0 ns
PH157010020,0 ns
PH157011009,0 ns
PH157007049,0 ns
PH157011010,0 ns
PH157003008,0 ns
PH157009021,0 ns
PH157007033,0 ns
PH157002031,0 ns
PH157009009,0 ns
PH157002033,1 hot spot
PH157005025,0 ns
PH157005004,0 ns
PH157006027,0 ns
PH157005001,0 ns
PH157004013,0 ns
PH157010021,0 ns
PH157002034,0 ns
PH157001017,0 ns
PH157003009,0 ns
PH157001008,0 ns
PH157010011,0 ns
PH157008001,0 ns
PH157011011,0 ns
PH157006028,0 ns
PH157004004,0 ns
PH157006029,0 ns
PH157011012,0 ns
PH157003010,0 ns
PH157007050,0 ns
PH157006039,3 cold spot
PH157010010,0 ns
PH157007043,0 ns
PH157007041,0 ns
PH157010015,0 ns
PH157010022,0 ns
PH157007051,0 ns
PH157002037,0 ns
PH157007052,0 ns
PH157011013,0 ns
PH157004014,0 ns
PH157006030,0 ns
PH157006032,0 ns
PH157007042,0 ns
PH157011014,0 ns
PH157004005,0 ns
PH157010003,0 ns
PH157005010,1 hot spot
PH157011015,0 ns
PH157002040,0 ns
PH157005012,0 ns
PH157002042,0 ns
PH157009022,0 ns
PH157006035,0 ns
PH157006033,0 ns
PH157006034,0 ns
PH157004006,0 ns
PH157002048,1 hot spot
PH157002049,1 hot spot
PH157002050,1 hot spot
PH157009010,0 ns
PH157006036,0 ns
PH157009011,0 ns
PH157009012,0 ns
PH157001018,0 ns
PH157001009,0 ns
PH157010023,2 low outlier
PH157004007,0 ns
PH157003012,0 ns
PH157006037,0 ns
PH157002043,0 ns
PH157011016,0 ns
