Bgy_Code,labels
PH153634009,3 cold spot
PH153617017,0 ns
PH153633042,3 cold spot
PH153634014,3 cold spot
PH153612011,0 ns
PH153611019,0 ns
PH153624013,3 cold spot
PH153629005,0 ns
PH153627009,3 cold spot
PH153618089,0 ns
PH153627010,0 ns
PH153627070,3 cold spot
PH153627011,3 cold spot
PH153627012,3 cold spot
PH153624012,3 cold spot
PH153627013,3 cold spot
PH153629006,0 ns
PH153627008,3 cold spot
PH153624014,3 cold spot
PH153627014,3 cold spot
PH153617048,0 ns
PH153619006,3 cold spot
PH153619007,3 cold spot
PH153619008,3 cold spot
PH153634011,0 ns
PH153601006,3 cold spot
PH153633005,3 cold spot
PH153633006,3 cold spot
PH153633025,3 cold spot
PH153603014,0 ns
PH153606006,3 cold spot
PH153623008,3 cold spot
PH153621009,3 cold spot
PH153622008,3 cold spot
PH153636007,0 ns
PH153624091,3 cold spot
PH153624054,3 cold spot
PH153624081,3 cold spot
PH153603009,3 cold spot
PH153634051,3 cold spot
PH153601007,0 ns
PH153605005,0 ns
PH153613008,3 cold spot
PH153619010,0 ns
PH153625037,0 ns
PH153633007,3 cold spot
PH153629004,0 ns
PH153634013,0 ns
PH153603011,0 ns
PH153624092,3 cold spot
PH153621010,3 cold spot
PH153604017,3 cold spot
PH153617021,0 ns
PH153612050,0 ns
PH153616107,0 ns
PH153604055,3 cold spot
PH153621007,3 cold spot
PH153614007,0 ns
PH153622006,3 cold spot
PH153617019,0 ns
PH153606008,0 ns
PH153619005,3 cold spot
PH153617015,1 hot spot
PH153621008,3 cold spot
PH153617022,0 ns
PH153617014,0 ns
PH153617023,0 ns
PH153632004,3 cold spot
PH153605006,0 ns
PH153627016,3 cold spot
PH153602006,0 ns
PH153612012,0 ns
PH153602022,0 ns
PH153622007,0 ns
PH153602019,0 ns
PH153635009,3 cold spot
PH153615081,0 ns
PH153633008,3 cold spot
PH153630006,0 ns
PH153640002,0 ns
PH153607012,0 ns
PH153617024,0 ns
PH153607013,0 ns
PH153613018,3 cold spot
PH153611020,0 ns
PH153614008,3 cold spot
PH153619011,3 cold spot
PH153626004,3 cold spot
PH153631008,0 ns
PH153615028,0 ns
PH153617025,1 hot spot
PH153636013,3 cold spot
PH153603015,3 cold spot
PH153625005,3 cold spot
PH153603016,0 ns
PH153617026,0 ns
PH153604009,3 cold spot
PH153613019,3 cold spot
PH153622011,0 ns
PH153631031,3 cold spot
PH153633009,3 cold spot
PH153636035,0 ns
PH153638005,0 ns
PH153627017,4 high outlier
PH153617027,0 ns
PH153625006,3 cold spot
PH153636008,3 cold spot
PH153636036,3 cold spot
PH153604027,3 cold spot
PH153604028,3 cold spot
