Pro_Name,Pro_Code,Bgy_Name,Bgy_Code,Variable,Value
Basilan,PH150700000,Bukut-Umus,PH150713004,Number of School,2
Basilan,PH150700000,Kaumpurnah,PH150713005,Number of School,1
Basilan,PH150700000,Lanawan,PH150713006,Number of School,1
Basilan,PH150700000,Pisak-pisak,PH150713007,Number of School,1
Basilan,PH150700000,Saluping,PH150713008,Number of School,2
Basilan,PH150700000,Suligan (Babuan Island),PH150713009,Number of School,1
Basilan,PH150700000,Sulloh (Tapiantana),PH150713010,Number of School,1
Basilan,PH150700000,Tambulig Buton,PH150713011,Number of School,1
Basilan,PH150700000,Tong-Umus,PH150713012,Number of School,2
Lanao Del Sur,PH153600000,Ampao,PH153601001,Number of School,1
Lanao Del Sur,PH153600000,Bagoaingud,PH153601002,Number of School,8
Lanao Del Sur,PH153600000,Balut,PH153601004,Number of School,2
Lanao Del Sur,PH153600000,Barua,PH153601005,Number of School,1
Lanao Del Sur,PH153600000,Buadiawani,PH153601006,Number of School,1
Lanao Del Sur,PH153600000,Bubong,PH153601007,Number of School,7
Lanao Del Sur,PH153600000,Dilabayan,PH153601008,Number of School,3
Lanao Del Sur,PH153600000,Gandamato,PH153601011,Number of School,1
Lanao Del Sur,PH153600000,Gurain,PH153601012,Number of School,2
Lanao Del Sur,PH153600000,Ilian,PH153601013,Number of School,9
Lanao Del Sur,PH153600000,Lama,PH153601014,Number of School,1
Lanao Del Sur,PH153600000,Liawao,PH153601015,Number of School,1
Lanao Del Sur,PH153600000,Lumbaca-Ingud,PH153601016,Number of School,2
Lanao Del Sur,PH153600000,Madanding,PH153601018,Number of School,4
Lanao Del Sur,PH153600000,Orong,PH153601019,Number of School,1
Lanao Del Sur,PH153600000,Pindolonan,PH153601020,Number of School,15
Lanao Del Sur,PH153600000,Poblacion II,PH153601022,Number of School,3
Lanao Del Sur,PH153600000,Raya,PH153601023,Number of School,9
Lanao Del Sur,PH153600000,Rorowan,PH153601024,Number of School,1
Lanao Del Sur,PH153600000,Sugod,PH153601025,Number of School,3
Lanao Del Sur,PH153600000,Tambo,PH153601026,Number of School,4
Lanao Del Sur,PH153600000,Tuka I,PH153601027,Number of School,2
Lanao Del Sur,PH153600000,Banago,PH153602002,Number of School,2
Lanao Del Sur,PH153600000,Barorao,PH153602003,Number of School,2
Lanao Del Sur,PH153600000,Batuan,PH153602004,Number of School,1
Lanao Del Sur,PH153600000,Calilangan,PH153602007,Number of School,3
Lanao Del Sur,PH153600000,Igabay,PH153602008,Number of School,2
Lanao Del Sur,PH153600000,Lalabuan,PH153602010,Number of School,2
Lanao Del Sur,PH153600000,Magulalung Occidental,PH153602011,Number of School,1
Lanao Del Sur,PH153600000,Magulalung Oriental,PH153602012,Number of School,1
Lanao Del Sur,PH153600000,Molimoc,PH153602013,Number of School,1
Lanao Del Sur,PH153600000,Purakan,PH153602016,Number of School,2
Lanao Del Sur,PH153600000,Lorenzo,PH153602027,Number of School,1
Lanao Del Sur,PH153600000,Macao,PH153602032,Number of School,1
Lanao Del Sur,PH153600000,Poblacion (Balabagan),PH153602039,Number of School,4
Lanao Del Sur,PH153600000,Upper Itil,PH153602043,Number of School,1
Lanao Del Sur,PH153600000,Lumbac,PH153602052,Number of School,12
Lanao Del Sur,PH153600000,Matampay,PH153602053,Number of School,5
Lanao Del Sur,PH153600000,Tataya,PH153602056,Number of School,2
Lanao Del Sur,PH153600000,Abaga,PH153603001,Number of School,1
Lanao Del Sur,PH153600000,Poblacion (Balindong),PH153603005,Number of School,2
Lanao Del Sur,PH153600000,Pantaragoo,PH153603006,Number of School,1
Lanao Del Sur,PH153600000,Barit,PH153603008,Number of School,3
Lanao Del Sur,PH153600000,Borakis,PH153603013,Number of School,1
Lanao Del Sur,PH153600000,Bualan,PH153603014,Number of School,6
